Date,Open,High,Low,Close,Volume
20241212  13:20:00,606.84,606.88,606.67,606.83,799
20241212  13:25:00,606.84,606.95,606.47,606.52,1283
20241212  13:30:00,606.51,606.55,606.24,606.26,809
20241212  13:35:00,606.26,606.26,605.92,606.19,1514
20241212  13:40:00,606.18,606.31,605.93,606.01,1256
20241212  13:45:00,605.98,606.14,605.96,606.12,1055
20241212  13:50:00,606.14,606.18,605.92,606.0,724
20241212  13:55:00,605.99,606.05,605.72,605.76,877
20241212  14:00:00,605.75,606.02,605.48,606.0,1941
20241212  14:05:00,606.0,606.12,605.77,605.81,1398
20241212  14:10:00,605.83,606.05,605.6,605.64,1011
20241212  14:15:00,605.64,605.71,605.4,605.47,1961
20241212  14:20:00,605.45,605.46,604.83,605.12,4128
20241212  14:25:00,605.13,605.33,604.93,604.93,1851
20241212  14:30:00,604.94,605.31,604.92,605.22,2300
20241212  14:35:00,605.22,605.44,605.1,605.41,1782
20241212  14:40:00,605.42,605.43,605.06,605.28,1755
20241212  14:45:00,605.29,605.44,605.12,605.2,1459
20241212  14:50:00,605.2,605.29,604.96,605.13,1395
20241212  14:55:00,605.12,605.24,604.93,605.12,1614
20241212  15:00:00,605.1,605.16,604.89,604.96,1850
20241212  15:05:00,604.95,605.23,604.94,605.08,1540
20241212  15:10:00,605.09,605.12,604.75,605.0,2519
20241212  15:15:00,604.87,605.12,604.85,604.92,1953
20241212  15:20:00,604.92,605.09,604.87,604.89,2405
20241212  15:25:00,604.9,604.99,604.76,604.88,1714
20241212  15:30:00,604.9,605.28,604.88,605.28,3561
20241212  15:35:00,605.26,605.3,605.08,605.1,2031
20241212  15:40:00,605.08,605.1,604.9,605.07,4134
20241212  15:45:00,605.07,605.35,605.04,605.05,5695
20241212  15:50:00,605.06,605.32,604.75,604.76,5622
20241212  15:55:00,604.78,604.79,604.34,604.34,20957
20241212  16:00:00,604.35,604.42,604.07,604.17,27321
20241212  16:05:00,604.17,604.26,604.06,604.21,295
20241212  16:10:00,604.21,604.21,604.0,604.09,1045
20241212  16:15:00,604.13,604.6,603.91,604.49,2252
20241212  16:20:00,604.56,604.68,604.49,604.65,407
20241212  16:25:00,604.75,604.75,604.56,604.65,709
20241212  16:30:00,604.76,604.76,604.63,604.65,150
20241212  16:35:00,604.53,604.55,604.36,604.4,27
20241212  16:40:00,604.43,604.47,604.33,604.41,122
20241212  16:45:00,604.34,604.48,604.34,604.43,45
20241212  16:50:00,604.4,604.4,604.29,604.37,230
20241212  16:55:00,604.37,604.38,604.29,604.31,317
20241212  17:00:00,604.31,604.43,604.29,604.33,94
20241212  17:05:00,604.41,604.42,604.27,604.27,20
20241212  17:10:00,604.33,604.39,604.28,604.3,21
20241212  17:15:00,604.4,604.45,604.38,604.43,24
20241212  17:20:00,604.35,604.6,604.33,604.58,136
20241212  17:25:00,604.6,605.0,604.6,604.79,225
20241212  17:30:00,604.71,604.93,604.71,604.82,160
20241212  17:35:00,604.9,605.25,604.79,605.25,216
20241212  17:40:00,604.83,605.49,604.75,605.05,254
